party_classification_description
Supermarket - Retailer Large
Supermarket - Retailer Small
Supermarket - Reseller - Large
Supermarket - Reseller - Small
Groceries - Reseller
Groceries - Retailer
Convenience Store/GASCON
Drugstore/Pharmacy
Full Service Wholesaler
Self Service Wholesaler
Complementary (TDP/SubD)
BEV Dealer
Market Stall - Large
Market Stall - Small
Market Stall - Z
Sari-sari Stores - Large
Sari-sari Stores - Small
College School Canteen
High School Canteen
Elementary School Canteen
At work Canteen
Eatery/Carinderia/Food Stalls
Transport Terminals
Bakeshop/Pancitan/Kapihan
Restaurants/Cafes
Hotels/Resorts
Gyms/Recreational Facilities
E-Commerce (Local)
LGU/ Corporate Purchases
Special Events/Sponsorships/ Walk In
